Node #        x0        y0        z0        xf        yf        zf        UX        UY        UZ
     2  125.7236 -125.7236    0.0000  291.3657 -125.7236    0.0000  165.6421    0.0000    0.0000
    23  135.2002 -115.4719    0.0000  300.8423 -115.4719    0.0000  165.6421   -0.0000    0.0000
    24  143.8432 -104.5082    0.0000  309.4853 -104.5082    0.0000  165.6421   -0.0000    0.0000
    25  151.5994  -92.9002    0.0000  317.2415  -92.9002    0.0000  165.6421   -0.0000    0.0000
    26  158.4210  -80.7195    0.0000  324.0631  -80.7195    0.0000  165.6421   -0.0000    0.0000
    27  164.2658  -68.0411    0.0000  329.9079  -68.0411    0.0000  165.6421   -0.0000    0.0000
    28  169.0978  -54.9432    0.0000  334.7399  -54.9432    0.0000  165.6421   -0.0000    0.0000
    29  172.8874  -41.5066    0.0000  338.5295  -41.5066    0.0000  165.6421   -0.0000    0.0000
    30  175.6110  -27.8140    0.0000  341.2531  -27.8140    0.0000  165.6421   -0.0000    0.0000
    31  177.2519  -13.9500    0.0000  342.8940  -13.9500    0.0000  165.6421   -0.0000    0.0000
    32  177.8000    0.0000    0.0000  343.4421   -0.0000    0.0000  165.6421   -0.0000    0.0000
    33  177.2519   13.9500    0.0000  342.8940   13.9500    0.0000  165.6421   -0.0000    0.0000
    34  175.6110   27.8140    0.0000  341.2531   27.8140    0.0000  165.6421   -0.0000    0.0000
    35  172.8874   41.5066    0.0000  338.5295   41.5066    0.0000  165.6421   -0.0000    0.0000
    36  169.0978   54.9432    0.0000  334.7399   54.9432    0.0000  165.6421   -0.0000    0.0000
    37  164.2658   68.0411    0.0000  329.9079   68.0411    0.0000  165.6421   -0.0000    0.0000
    38  158.4210   80.7195    0.0000  324.0631   80.7195    0.0000  165.6421   -0.0000    0.0000
    39  151.5994   92.9002    0.0000  317.2415   92.9002    0.0000  165.6421   -0.0000    0.0000
    40  143.8432  104.5082    0.0000  309.4853  104.5082    0.0000  165.6421   -0.0000    0.0000
    41  135.2002  115.4719    0.0000  300.8423  115.4719    0.0000  165.6421   -0.0000    0.0000
    22  125.7236  125.7236    0.0000  291.3657  125.7236    0.0000  165.6421    0.0000    0.0000
   483  125.7236 -125.7236   19.6850  291.3657 -125.7236   19.6850  165.6421    0.0000    0.0000
   484  135.2002 -115.4719   19.6850  300.8423 -115.4719   19.6850  165.6421   -0.0000    0.0000
   485  143.8432 -104.5082   19.6850  309.4853 -104.5082   19.6850  165.6421   -0.0000    0.0000
   486  151.5994  -92.9002   19.6850  317.2415  -92.9002   19.6850  165.6421   -0.0000    0.0000
   487  158.4210  -80.7195   19.6850  324.0631  -80.7195   19.6850  165.6421   -0.0000    0.0000
   488  164.2658  -68.0411   19.6850  329.9079  -68.0411   19.6850  165.6421   -0.0000    0.0000
   489  169.0978  -54.9432   19.6850  334.7399  -54.9432   19.6850  165.6421   -0.0000    0.0000
   490  172.8874  -41.5066   19.6850  338.5295  -41.5066   19.6850  165.6421   -0.0000    0.0000
   491  175.6110  -27.8140   19.6850  341.2531  -27.8140   19.6850  165.6421   -0.0000    0.0000
   492  177.2519  -13.9500   19.6850  342.8940  -13.9500   19.6850  165.6421   -0.0000    0.0000
   493  177.8000    0.0000   19.6850  343.4421   -0.0000   19.6850  165.6421   -0.0000    0.0000
   494  177.2519   13.9500   19.6850  342.8940   13.9500   19.6850  165.6421   -0.0000    0.0000
   495  175.6110   27.8140   19.6850  341.2531   27.8140   19.6850  165.6421   -0.0000    0.0000
   496  172.8874   41.5066   19.6850  338.5295   41.5066   19.6850  165.6421   -0.0000    0.0000
   497  169.0978   54.9432   19.6850  334.7399   54.9432   19.6850  165.6421   -0.0000    0.0000
   498  164.2658   68.0411   19.6850  329.9079   68.0411   19.6850  165.6421   -0.0000    0.0000
   499  158.4210   80.7195   19.6850  324.0631   80.7195   19.6850  165.6421   -0.0000    0.0000
   500  151.5994   92.9002   19.6850  317.2415   92.9002   19.6850  165.6421   -0.0000    0.0000
   501  143.8432  104.5082   19.6850  309.4853  104.5082   19.6850  165.6421   -0.0000    0.0000
   502  135.2002  115.4719   19.6850  300.8423  115.4719   19.6850  165.6421   -0.0000    0.0000
   463  125.7236  125.7236   19.6850  291.3657  125.7236   19.6850  165.6421    0.0000    0.0000
